,Neighborhood,TreeCount,ViolationCount
0,Alamo Square,362.0,4812
1,Anza Vista,365.0,3268
2,Apparel City,60.0,379
3,Aquatic Park / Ft. Mason,68.0,1683
4,Ashbury Heights,280.0,846
5,Balboa Terrace,223.0,324
6,Bayview,1100.0,4150
7,Bernal Heights,615.0,1379
8,Bret Harte,188.0,1164
9,Buena Vista,238.0,1870
10,Candlestick Point SRA,46.0,3329
11,Castro,424.0,3959
12,Cathedral Hill,464.0,3712
13,Cayuga,351.0,2436
14,Central Waterfront,253.0,187
15,Chinatown,222.0,7319
16,Civic Center,424.0,8732
17,Clarendon Heights,26.0,369
18,Cole Valley,213.0,2501
19,Corona Heights,148.0,509
20,Cow Hollow,446.0,4263
21,Crocker Amazon,290.0,1293
22,Diamond Heights,243.0,290
23,Dogpatch,404.0,3431
24,Dolores Heights,1010.0,9109
25,Downtown / Union Square,448.0,13835
26,Duboce Triangle,382.0,3837
27,Eureka Valley,392.0,1710
28,Excelsior,318.0,1450
29,Fairmount,382.0,823
30,Financial District,438.0,13303
31,Fishermans Wharf,227.0,2562
32,Forest Hill,259.0,187
33,Forest Knolls,3.0,36
34,Glen Park,157.0,82
35,Golden Gate Heights,381.0,1841
36,Golden Gate Park,552.0,5039
37,Haight Ashbury,241.0,2423
38,Hayes Valley,485.0,4729
39,Holly Park,626.0,2598
40,Hunters Point,78.0,618
41,India Basin,425.0,965
42,Ingleside,208.0,1234
43,Ingleside Terraces,104.0,325
44,Inner Richmond,620.0,5306
45,Inner Sunset,467.0,2854
46,Japantown,467.0,3678
47,Laguna Honda,184.0,538
48,Lake Street,420.0,3368
49,Lakeshore,13.0,1074
50,Laurel Heights / Jordan Park,440.0,3568
51,Lincoln Park / Ft. Miley,72.0,625
52,Little Hollywood,196.0,473
53,Lone Mountain,205.0,2279
54,Lower Haight,179.0,2688
55,Lower Nob Hill,225.0,8907
56,Lower Pacific Heights,423.0,4114
57,Marina,270.0,4047
58,McLaren Park,1.0,53
59,Merced Heights,184.0,1298
60,Merced Manor,290.0,1978
61,Midtown Terrace,12.0,51
62,Mint Hill,454.0,5523
63,Miraloma Park,124.0,46
64,Mission,1234.0,14038
65,Mission Bay,320.0,4103
66,Mission Dolores,447.0,6653
67,Mission Terrace,428.0,2017
68,Monterey Heights,53.0,82
69,Mt. Davidson Manor,103.0,361
70,Nob Hill,249.0,2671
71,Noe Valley,687.0,3220
72,North Beach,163.0,2998
73,Northern Waterfront,218.0,4148
74,Oceanview,200.0,1685
75,Outer Mission,141.0,1144
76,Outer Richmond,586.0,3495
77,Outer Sunset,1094.0,5543
78,Pacific Heights,502.0,6060
79,Panhandle,233.0,2511
80,Parkmerced,203.0,2640
81,Parkside,626.0,3104
82,Parnassus Heights,60.0,630
83,Peralta Heights,643.0,2729
84,Polk Gulch,391.0,6357
85,Portola,351.0,2065
86,Potrero Hill,672.0,4501
87,Presidio Heights,526.0,2915
88,Presidio Terrace,295.0,1514
89,Produce Market,104.0,495
90,Rincon Hill,193.0,4191
91,Russian Hill,501.0,2183
92,Seacliff,329.0,1918
93,Sherwood Forest,57.0,34
94,Showplace Square,488.0,6338
95,Silver Terrace,139.0,1466
96,South Beach,320.0,6207
97,South of Market,522.0,9707
98,St. Francis Wood,188.0,105
99,St. Marys Park,306.0,1053
100,Stonestown,85.0,442
101,Sunnydale,73.0,677
102,Sunnyside,518.0,618
103,Sutro Heights,155.0,1246
104,Telegraph Hill,365.0,4750
105,Tenderloin,232.0,8990
106,Union Street,430.0,8996
107,University Mound,275.0,882
108,Upper Market,136.0,722
109,Visitacion Valley,241.0,1042
110,West Portal,479.0,2272
111,Western Addition,436.0,2817
112,Westwood Highlands,153.0,163
113,Westwood Park,153.0,455
114,Presidio National Park,0.0,335
115,Treasure Island,0.0,4364
116,Yerba Buena Island,0.0,24
